2150	23.42
2155	23.63
2160	23.83
2165	23.88
2170	23.93
2175	24.02
2180	24.13
2185	24.12
2190	24.17
2195	24.36
2200	24.56
2205	24.75
2210	24.94
2215	24.88
2220	24.82
2225	25.01
2230	25.24
2235	25.33
2240	25.47
2245	25.50
2250	25.53
2255	25.61
2260	25.69
2265	25.62
2270	25.49
2275	25.57
2280	25.65
2285	25.77
2290	25.89
2295	26.01
2300	26.13
2305	26.15
2310	26.11
2315	26.08
2320	25.99
2325	26.06
2330	26.07
2335	26.08
2340	26.08
2345	26.14
2350	26.15
2355	26.15
2360	26.20
2365	26.20
2370	26.20
2375	26.24
2380	26.24
2385	26.09
2390	25.93
2395	25.98
2400	25.97
2405	26.01
2410	26.04
2415	26.03
2420	25.97
2425	26.05
2430	26.08
2435	26.01
2440	25.99
2445	25.97
2450	25.94
2455	25.77
2460	25.65
2465	25.62
2470	25.59
2475	25.56
2480	25.53
2485	25.45
2490	25.36
2495	25.28
2500	25.19
2505	25.20
2510	25.17
2515	25.08
2520	24.99
2525	24.90
2530	24.81
2535	24.66
2540	24.51
2545	24.52
2550	24.52
2555	24.42
2560	24.28
2565	24.18
2570	24.08
2575	24.02
2580	23.97
2585	23.87
2590	23.72
2595	23.61
2600	23.51
2605	23.40
2610	23.34
2615	23.28
2620	23.17
2625	23.02
2630	22.86
2635	22.70
2640	22.58
2645	22.47
2650	22.32
2655	22.15
2660	22.04
2665	21.92
2670	21.76
2675	21.65
2680	21.49
2685	21.32
2690	21.20
2695	21.09
2700	20.92
2705	20.76
2710	20.65
2715	20.53
2720	20.42
2725	20.30
2730	20.19
2735	20.07
2740	19.91
2745	19.74
2750	19.63
2755	19.51
2760	19.35
2765	19.23
2770	19.11
2775	19
2780	18.93
2785	18.83
2790	18.71
2795	18.60
2800	18.49
2805	18.38
2810	18.26
2815	18.10
2820	17.99
2825	17.88
2830	17.78
2835	17.67
2840	17.56
2845	17.45
2850	17.30
2855	17.19
2860	17.08
2865	17.03
2870	16.92
2875	16.83
2880	16.72
2885	16.67
2890	16.57
2895	16.48
2900	16.38
2905	16.28
2910	16.24
2915	16.14
2920	16.05
2925	15.95
2930	15.86
2935	15.77
2940	15.68
2945	15.65
2950	15.56
2955	15.47
2960	15.43
2965	15.35
2970	15.27
2975	15.19
2980	15.11
2985	15.03
2990	14.95
2995	14.93
3000	14.85
3005	14.83
3010	14.81
3015	14.79
3020	14.72
3025	14.65
3030	14.64
3035	14.62
3040	14.56
3045	14.55
3050	14.53
3055	14.48
3060	14.42
3065	14.41
3070	14.41
3075	14.41
3080	14.35
3085	14.30
3090	14.30
3095	14.31
3100	14.26
3105	14.21
3110	14.22
3115	14.23
3120	14.18
3125	14.19
3130	14.16
3135	14.12
3140	14.14
3145	14.15
3150	14.12
3155	14.14
3160	14.16
3165	14.18
3170	14.20
3175	14.23
3180	14.26
3185	14.28
3190	14.31
3195	14.34
3200	14.37
3205	14.45
3210	14.49
3215	14.57
3220	14.66
3225	14.74
3230	14.83
3235	14.92
3240	14.96
3245	15
3250	15.09
3255	15.19
